0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
0,0,3,7,7,7,7,7,7,7,7,7,7,3,14,14,14,14,3,7,7,7,7,7,7,7,7,7,7,3,
0,0,3,7,6,6,6,6,6,6,6,6,6,3,14,13,13,13,3,7,6,6,6,6,6,6,6,6,6,3,
0,0,3,7,6,2,2,2,2,2,2,6,6,3,14,13,13,13,3,7,6,2,2,2,2,2,2,9,6,3,
0,0,3,7,6,3,7,7,7,7,7,9,6,3,14,13,13,13,3,7,6,8,7,7,7,7,3,7,6,3,
0,0,3,7,6,3,7,6,6,6,6,6,6,8,7,9,6,8,7,7,6,6,6,6,6,8,3,7,6,3,
0,0,3,7,6,8,7,6,3,9,6,6,6,6,6,6,6,6,6,6,6,6,6,3,9,6,6,8,6,3,
0,0,3,7,6,6,6,6,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,3,7,6,6,6,6,3,
0,0,3,2,2,2,6,6,3,7,9,6,6,6,6,6,6,6,6,6,6,6,6,3,7,6,2,2,2,3,
0,0,3,7,7,7,9,6,2,2,2,6,6,2,2,2,2,2,2,6,6,2,2,2,7,6,8,7,7,3,
0,0,3,7,6,6,6,6,8,7,7,9,6,8,7,7,7,7,7,9,6,8,7,7,7,6,6,6,6,3,
0,0,3,7,6,3,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,9,6,3,
0,0,3,7,6,3,7,9,6,6,3,9,6,3,12,10,10,10,3,9,6,3,9,6,6,6,3,7,6,3,
0,0,3,7,6,2,2,2,6,6,3,7,6,3,11,10,10,10,3,7,6,3,7,6,2,2,2,7,6,3,
0,0,3,7,6,8,7,7,9,6,3,7,6,3,11,10,10,10,3,7,6,3,7,6,8,7,7,7,6,3,
0,0,3,7,6,6,6,6,6,6,3,7,6,3,11,10,10,10,3,7,6,3,7,9,6,6,6,6,6,3,
0,0,3,7,6,3,9,6,2,2,3,7,6,2,2,2,2,2,2,7,6,3,2,2,6,6,3,9,6,3,
0,0,3,7,6,3,7,6,8,7,7,7,6,8,7,7,7,7,7,7,6,8,7,7,9,6,3,7,6,3,
0,0,3,7,6,3,7,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,7,6,3,
0,0,3,7,6,2,2,2,6,6,2,2,2,2,6,6,6,6,2,2,2,2,9,6,2,2,2,7,6,3,
0,0,3,7,6,8,7,7,9,6,3,7,7,7,9,6,6,6,8,7,7,3,7,6,8,7,7,7,6,3,
0,0,3,7,6,6,6,6,6,6,3,7,6,6,6,6,6,6,6,6,6,3,7,6,6,6,6,6,6,3,
0,0,3,2,2,6,6,3,9,6,3,7,6,2,2,2,2,2,2,6,6,3,7,6,3,9,6,2,2,3,
0,0,3,7,6,6,6,3,7,6,6,8,6,8,7,7,7,7,7,9,6,8,7,6,3,7,6,8,7,3,
0,0,3,7,6,6,6,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,7,9,6,6,3,
0,0,3,7,6,2,2,2,7,6,3,2,2,2,6,6,6,6,2,2,2,3,9,6,2,2,2,6,6,3,
0,0,3,7,6,8,7,7,7,6,3,7,7,7,9,6,6,6,8,7,7,3,7,6,8,7,7,9,6,3,
0,0,3,7,6,6,6,6,6,6,3,7,6,6,6,6,6,6,6,6,6,3,7,6,6,6,6,6,6,3,
0,0,3,7,6,6,6,6,6,6,3,7,6,6,6,1,6,6,6,6,6,3,7,6,6,6,6,6,6,3,
0,0,3,7,6,6,6,6,6,6,3,7,6,6,6,6,6,6,6,6,6,3,7,6,6,6,6,6,6,3,
0,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
